temp,SLABweight,SLABwide,SLABthick,SLABlong,RolljoblinLT,SHEARinLT,TSmean
502,19.58 ton,1050 mm,250 mm,9540 mm,7.7,4,341
193,27.06 ton,1490 mm,246 mm,9440 mm,7.2,20.1,269
477,29.79 ton,1300 mm,250 mm,11720 mm,7.3,11.4,430
330,19.59 ton,1300 mm,250 mm,7710 mm,8,12.7,427
242,25.62 ton,1240 mm,246 mm,10740 mm,2.5,16.6,338
277,23.65 ton,1020 mm,250 mm,11860 mm,9.8,17,344
305,23.65 ton,1020 mm,250 mm,11860 mm,10.1,16.8,347
671,16.66 ton,1000 mm,250 mm,8520 mm,3.4,5.8,320
371,30.09 ton,1300 mm,250 mm,11840 mm,12.8,10.9,352
515,30.09 ton,1300 mm,250 mm,11840 mm,12.8,10.9,353
616,29.66 ton,1290 mm,250 mm,11760 mm,6.9,6.4,335
684,18.62 ton,1100 mm,250 mm,8660 mm,3,3.6,332
685,29.33 ton,1290 mm,250 mm,11630 mm,6.9,6.3,335
377,34.37 ton,1570 mm,246 mm,11380 mm,6.9,19.5,258
384,23.65 ton,1020 mm,250 mm,11860 mm,10.5,14.2,337
259,34.37 ton,1570 mm,246 mm,11380 mm,6.8,19.5,258
418,23.65 ton,1020 mm,250 mm,11860 mm,10.6,14.5,337
311,26.21 ton,1190 mm,250 mm,11410 mm,6.8,24.7,488
468,23.09 ton,1560 mm,250 mm,7570 mm,11.4,5.6,511
498,19.29 ton,1300 mm,250 mm,7590 mm,9.7,10.6,300
471,29.79 ton,1300 mm,250 mm,11720 mm,7.3,11.5,432
629,24.24 ton,1560 mm,250 mm,8050 mm,11.5,5.7,517
448,29.89 ton,1390 mm,250 mm,11000 mm,11.6,10,338
528,30.86 ton,1380 mm,250 mm,11440 mm,5.9,2.3,288
333,22.7 ton,1270 mm,246 mm,9290 mm,11.6,14.5,273
488,19.39 ton,1260 mm,250 mm,7870 mm,7.7,10.9,431
381,22.12 ton,1210 mm,250 mm,9350 mm,8.4,8.5,283
448,19.39 ton,1300 mm,250 mm,7750 mm,7.6,11.2,431
441,19.39 ton,1260 mm,250 mm,7870 mm,7.7,11,430
347,34.49 ton,1490 mm,250 mm,11840 mm,12.1,20,309
562,34.99 ton,1570 mm,250 mm,11400 mm,11.2,4.5,251
437,33.91 ton,1490 mm,250 mm,11640 mm,11.5,19.3,320
374,22.7 ton,1270 mm,246 mm,9290 mm,12,15.2,273
166,33.39 ton,1440 mm,250 mm,11860 mm,12.6,19.1,321
640,24.03 ton,1570 mm,250 mm,7830 mm,11.1,8.2,264
187,28.86 ton,1390 mm,250 mm,10620 mm,9,15.9,339
541,16.66 ton,1000 mm,250 mm,8520 mm,3.5,5.8,319
468,22.19 ton,1290 mm,250 mm,8800 mm,12.8,9.1,341
499,29.2 ton,1310 mm,250 mm,11490 mm,9.2,10,334
616,24.03 ton,1570 mm,250 mm,7830 mm,11.1,8.3,264
297,23.65 ton,1020 mm,250 mm,11860 mm,10.2,13.6,340
459,26.36 ton,1490 mm,250 mm,9050 mm,12.4,7.8,271
670,30.67 ton,1490 mm,250 mm,10530 mm,12.6,7.6,267
539,29.44 ton,1500 mm,250 mm,10040 mm,12.6,5.2,255
412,19.42 ton,1300 mm,250 mm,7640 mm,8.2,12.6,429
426,22.99 ton,1390 mm,250 mm,8460 mm,12.2,10.2,340
713,22.11 ton,1130 mm,250 mm,10010 mm,6.8,5.8,332
634,19.48 ton,1100 mm,250 mm,9270 mm,7.5,4.3,340
331,19.37 ton,1090 mm,250 mm,9090 mm,7.8,13,327
524,22.87 ton,1290 mm,250 mm,9070 mm,9.7,9.6,339
362,22.99 ton,1020 mm,250 mm,11530 mm,11.2,17.6,337
578,22.99 ton,1390 mm,250 mm,8460 mm,12.2,10.3,339
595,34.02 ton,1490 mm,250 mm,11680 mm,13.2,8.6,267
342,22.9 ton,1310 mm,250 mm,8940 mm,10.1,11.2,340
643,18.59 ton,1000 mm,250 mm,9510 mm,9.7,3.3,417
665,21.21 ton,1000 mm,250 mm,10850 mm,10,3.1,416
733,22.19 ton,1000 mm,250 mm,11350 mm,10,2.6,426
660,22.11 ton,1130 mm,250 mm,10010 mm,6.8,5.7,332
512,20.5 ton,1150 mm,250 mm,9320 mm,7.1,4.3,342
623,24.22 ton,1560 mm,250 mm,7940 mm,11.3,5.8,512
668,23.08 ton,1520 mm,250 mm,7870 mm,11.4,5.5,516
731,31.98 ton,1420 mm,250 mm,11520 mm,6.7,3.7,275
420,22.05 ton,1260 mm,250 mm,8950 mm,9.6,12.2,426
425,22.07 ton,1260 mm,250 mm,8960 mm,9.6,12.3,427
510,34.8 ton,1520 mm,250 mm,11710 mm,13,9,268
584,15.32 ton,1110 mm,250 mm,7060 mm,6.4,3,351
422,23.65 ton,1020 mm,250 mm,11860 mm,10.4,13.5,340
469,24.3 ton,1310 mm,250 mm,9490 mm,9.5,10.5,337
536,24.24 ton,1290 mm,250 mm,9610 mm,9.6,9.8,337
496,19.59 ton,1300 mm,250 mm,7710 mm,8.3,12.9,428
419,19.46 ton,1210 mm,250 mm,8400 mm,7.2,12.6,328
691,19.48 ton,1050 mm,250 mm,9490 mm,7.3,3.9,340
